,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH
74,20.0,3.0,16.0,830.0,35.443555176170236,291.9911201550508,32.4,13.3
75,5.0,11.0,9.0,1056.0,42.28994214760414,85.10628230983555,24.7,22.0
76,2.0,11.0,4.0,0.0,-21.544715335499305,121.28977031249178,19.5,20.7
77,22.0,4.0,22.0,0.0,-50.4395990589187,253.236439191753,15.8,27.6
78,2.0,5.0,1.0,0.0,-75.19313410957298,153.14291300118262,18.6,30.6
79,31.0,5.0,18.0,0.0,-3.4416801935166887,292.9827057813861,17.5,39.7
80,11.0,7.0,11.0,840.0,33.75859670478487,28.281778341499116,20.7,23.5
81,22.0,4.0,1.0,0.0,-72.35770780275143,158.73973938635058,12.4,36.0
82,8.0,6.0,21.0,0.0,-41.749104669661165,276.083657594694,10.2,68.7
83,7.0,1.0,19.0,0.0,6.686575491876482,248.02522517616288,33.7,9.4
84,28.0,7.0,10.0,810.0,28.310593721721432,44.15920725933869,22.2,17.6
85,4.0,12.0,10.0,1089.0,56.46514335511044,87.502934507405,25.9,26.8
86,23.0,9.0,21.0,0.0,-32.980454241061494,249.8442646613807,10.9,39.7
87,4.0,3.0,5.0,28.0,-19.878011709083395,109.77643868661504,22.3,27.6
88,8.0,1.0,15.0,729.0,58.311950445317805,273.1787188189577,40.0,8.0
89,24.0,12.0,10.0,1085.0,54.92838799832186,90.80899643285382,27.5,27.2
90,24.0,9.0,18.0,0.0,6.062454408820344,273.2211364032447,13.2,22.8
91,16.0,8.0,17.0,0.0,14.173186901635802,294.93674290244803,17.8,27.4
92,19.0,1.0,21.0,0.0,-16.73042048019687,234.5964774740363,30.7,30.2
93,25.0,6.0,11.0,629.0,32.996527954413445,26.923171610965284,19.8,21.5
94,29.0,10.0,19.0,0.0,-2.4364224467977635,253.6318100524749,25.0,30.1
95,5.0,12.0,11.0,1096.0,69.49231233645204,77.22270754888166,30.7,16.6
96,17.0,7.0,16.0,375.0,20.881711243405974,310.5897092729671,14.9,34.4
97,15.0,9.0,10.0,622.0,41.75606936583239,54.89861974767327,30.5,10.5
98,25.0,2.0,5.0,67.0,-18.64348474410427,112.27339588331984,20.2,47.0
99,22.0,7.0,19.0,0.0,-13.408222367040139,286.24238460649684,3.6,56.6
100,6.0,6.0,1.0,0.0,-81.65788174969492,133.70877073800284,9.3,36.1
101,21.0,10.0,9.0,1053.0,39.87136241081887,79.22404627321927,24.2,9.3
102,29.0,5.0,23.0,0.0,-67.90213870889761,256.77071717928203,6.9,35.7
103,10.0,2.0,15.0,0.0,56.8648824714964,287.8023154500888,33.1,32.1
104,5.0,5.0,19.0,0.0,-13.511554583456387,281.0726950621345,14.3,46.2
105,30.0,12.0,9.0,894.0,41.1151625076439,96.98121810859888,30.6,22.4
106,4.0,8.0,10.0,601.0,29.65387961915571,45.37727971033545,19.8,26.8
107,3.0,7.0,6.0,19.0,-18.972028935413107,73.47092244310276,5.9,57.2
108,7.0,6.0,23.0,0.0,-68.0422896693191,260.03811712431434,11.5,45.7
109,12.0,9.0,2.0,0.0,-58.21841251572184,134.7670126052147,10.3,26.7
110,1.0,11.0,13.0,430.0,72.8195617767908,324.5848449276288,34.3,14.2
111,5.0,2.0,8.0,894.0,22.869254945202172,96.61631372997651,29.3,17.2
112,20.0,7.0,2.0,0.0,-70.68268532913197,108.89679006554815,9.4,25.1
113,13.0,5.0,2.0,0.0,-67.32134955963329,112.25437741704525,15.5,34.1
114,5.0,11.0,15.0,974.0,50.75241650597351,280.7672592778295,29.3,10.4
115,3.0,4.0,20.0,0.0,-20.07852073943731,264.6650898234354,25.7,44.9
116,28.0,1.0,21.0,0.0,-17.63663435377778,236.652378069326,30.0,13.0
117,6.0,3.0,16.0,832.0,39.28853266324132,286.905638850847,32.1,11.6
118,24.0,1.0,18.0,226.0,19.155174777066094,257.77347112451355,28.7,14.8
119,26.0,4.0,21.0,0.0,-38.30064660578984,264.4460974444711,18.6,39.4
120,19.0,4.0,4.0,0.0,-39.039244285028445,99.42433350241485,13.7,32.2
121,8.0,8.0,1.0,0.0,-77.18350191504604,159.3941414733175,10.4,26.2
122,24.0,11.0,10.0,983.0,56.62428872881153,84.02918735073231,34.5,19.9
123,7.0,10.0,8.0,871.0,23.668244794504105,82.70012075943436,24.0,37.0
124,21.0,11.0,23.0,0.0,-37.8966724205019,204.69161121351698,20.1,44.4
125,17.0,6.0,10.0,793.0,25.960568284337754,40.00416185994998,16.7,22.8
126,20.0,5.0,20.0,0.0,-28.14041727511558,278.43271606216695,16.4,39.3
127,10.0,11.0,19.0,0.0,-0.45951862137332,250.4440545459359,18.6,25.7
128,12.0,12.0,9.0,464.0,42.84682711400682,95.91152151439536,31.6,28.2
129,4.0,6.0,8.0,848.0,6.78674000592919,60.00523613730106,13.6,31.0
130,8.0,11.0,21.0,0.0,-24.16682577858957,233.59957400766626,15.4,36.5
131,28.0,10.0,3.0,0.0,-33.34304594151399,131.19186485127452,19.4,69.3
132,31.0,8.0,9.0,796.0,25.82366401400712,62.61174276410886,17.4,46.6
133,10.0,8.0,17.0,0.0,13.341195507082062,296.6048153975961,20.6,19.0
134,25.0,12.0,13.0,1080.0,82.51306858431272,311.3319887192607,33.0,10.4
135,16.0,2.0,1.0,0.0,-48.82541532462113,176.25285108787818,23.3,34.8
136,14.0,5.0,11.0,151.0,38.1290494463379,28.042340125369105,18.1,26.8
137,24.0,7.0,18.0,0.0,-0.7675152097741886,292.5334901457035,7.1,36.4
138,10.0,9.0,16.0,489.0,29.770103063579803,295.57077140001843,25.2,17.2
139,19.0,10.0,9.0,1007.0,39.45527069917257,78.44792959541155,24.7,36.1
140,31.0,3.0,6.0,569.0,-10.675571868945894,91.42659452933356,13.9,60.3
141,29.0,11.0,4.0,1.0,-18.00611318557661,127.68216505582544,19.2,29.7
142,23.0,3.0,19.0,0.0,-4.1098865248483065,268.567192158437,28.7,29.2
143,22.0,5.0,23.0,0.0,-67.51709735761557,253.54133061587703,15.4,44.6
144,14.0,3.0,5.0,0.0,-21.485854768026428,105.92392226660505,23.8,24.4
145,1.0,5.0,9.0,808.0,22.80612399944515,57.07698935967871,24.0,29.3
146,9.0,10.0,19.0,0.0,-5.340090997305339,260.340321694159,13.7,14.8
147,2.0,1.0,19.0,0.0,6.492039311465646,247.3385156816043,29.8,8.7
148,15.0,12.0,22.0,0.0,-26.8097016867503,219.0610643257384,19.5,74.4
149,8.0,12.0,3.0,0.0,-27.113236941961816,140.28439404383852,20.5,16.8
150,15.0,9.0,2.0,0.0,-57.14913713186243,135.68894279608247,14.4,22.3
151,7.0,5.0,17.0,0.0,11.148056301228081,295.94500549246607,19.3,36.8
152,26.0,3.0,7.0,560.0,3.08064702022223,86.18019624242196,25.7,39.9
153,21.0,12.0,3.0,0.0,-27.26673358709685,142.02795456152228,22.9,26.6
154,20.0,9.0,20.0,0.0,-20.637087703177485,260.0430429872127,21.7,13.9
155,27.0,9.0,19.0,0.0,-6.7832899305276015,264.87556744158184,16.2,45.2
156,7.0,7.0,5.0,0.0,-31.81091568117253,79.62609946203027,4.8,88.6
157,14.0,7.0,6.0,41.0,-18.848372857552775,74.81899018039846,7.5,84.6
158,3.0,2.0,4.0,0.0,-25.39321640300892,128.38327389954767,19.8,26.9
159,17.0,12.0,21.0,0.0,-17.31456832114408,230.1591453193345,24.3,22.6
160,14.0,12.0,4.0,0.0,-17.81111446982827,130.08998537609781,20.1,25.6
161,19.0,8.0,18.0,0.0,2.206499736724254,286.17878631233583,13.1,33.9
162,19.0,2.0,11.0,1055.0,59.30518091521806,62.16484134273704,35.3,8.5
163,3.0,5.0,19.0,0.0,-13.20741058300922,280.5544878827457,18.3,35.2
164,25.0,5.0,13.0,678.0,40.275960989777886,351.49137225633376,26.8,25.1
165,10.0,4.0,14.0,950.0,48.734511726559994,327.92957754113655,23.2,25.0
166,13.0,8.0,0.0,0.0,-73.5310503266929,143.09031074979976,11.3,57.8
167,19.0,3.0,1.0,0.0,-60.393358255116226,171.90823730948676,19.1,20.0
168,3.0,10.0,17.0,157.0,20.210579525498446,277.1356210338567,24.4,10.4
169,25.0,3.0,15.0,557.0,45.41024433228669,306.33512210969315,32.9,21.4
170,18.0,2.0,16.0,942.0,42.765507211053425,280.46483574093565,32.4,8.1
171,24.0,6.0,13.0,824.0,37.79412646885542,353.489590306738,20.8,12.7
172,17.0,11.0,17.0,44.0,26.20423364756828,261.9089006656085,32.1,11.2
173,7.0,9.0,9.0,834.0,27.84427705317819,64.48541597794042,23.8,12.2
174,31.0,1.0,13.0,667.0,78.83373255792745,346.0225975531322,35.3,19.3
175,17.0,10.0,3.0,0.0,-36.40442519621696,128.2055732240556,19.4,45.1
176,28.0,9.0,6.0,559.0,-4.936598102677223,94.54950620949555,11.6,68.6
177,8.0,2.0,10.0,891.0,48.709609532182675,80.55798230801923,29.5,34.8
178,2.0,12.0,16.0,827.0,41.38775734579579,265.10334116420836,31.9,17.4
179,3.0,1.0,21.0,0.0,-16.247624227129222,231.74959248104338,28.0,13.2
180,16.0,4.0,13.0,736.0,51.253013061957404,350.37149283253433,16.3,58.2
181,26.0,7.0,18.0,0.0,-0.5454305316845023,292.1751410424124,15.1,16.2
182,30.0,11.0,8.0,979.0,30.321590368128938,99.52810549588285,24.4,37.3
183,24.0,1.0,22.0,0.0,-27.351366264688437,225.0637616773161,25.7,23.0
184,28.0,2.0,15.0,408.0,53.083470717979814,296.7224816606727,34.7,24.5
185,18.0,1.0,5.0,24.0,-11.335300974385675,121.27352481886747,27.9,33.4
186,20.0,11.0,4.0,31.0,-18.745862843032498,125.78928089298934,16.1,39.2
187,12.0,3.0,16.0,830.0,37.706563599538256,289.1603175865358,33.6,14.1
188,22.0,8.0,22.0,0.0,-49.598247196073345,254.36387429064936,16.7,32.7
189,24.0,4.0,22.0,0.0,-50.863792806984236,254.0702286720288,20.1,29.2
190,17.0,3.0,2.0,0.0,-54.850548954401944,145.8978414978041,16.6,58.0
191,8.0,8.0,3.0,0.0,-55.91303353093534,103.19552982813559,9.5,26.9
192,16.0,5.0,10.0,753.0,30.09611773077961,42.2513175287257,22.4,56.9
193,12.0,10.0,21.0,0.0,-29.801473420374492,241.9007617211962,11.2,38.5
194,1.0,7.0,5.0,0.0,-31.742108007738054,78.98627188180433,7.9,49.8
195,28.0,1.0,10.0,1032.0,50.354104999761375,84.75948893711815,32.3,14.0
196,21.0,1.0,3.0,0.0,-31.693626298882123,142.58656957118077,25.9,49.4
197,17.0,1.0,5.0,0.0,-11.158060100017053,121.38628523884839,27.0,39.2
198,14.0,11.0,2.0,0.0,-37.67300275758544,149.62670274442968,12.0,52.5
199,22.0,2.0,14.0,69.0,65.58033514996461,313.92717195242864,31.4,31.3
